"","fcar","uf","munic","year","app_area_hec","Formacao Florestal","Formacao Savanica","Campo Alagado e Area Pantanosa","Pastagem","Mosaico de Agricultura e Pastagem","Rio, Lago e Oceano","Cana-de-Acucar","Soja","Outras Lavouras Temporarias","Fomacao Campestre","Caf√©","Citrus","Outras Areas nao Vegetadas","Area Urbanizada"
"99","SP-3524303-8DC097BB871E49BCAFEEDD4DAAFDBB1E","SP",3524303,"2021",3.95,1.37,0,0,0,2.05,0,0.38,0,0.15,0,0,0,0,0
"100","SP-3524303-A4204348BA434E28ADC4E0BAB626B251","SP",3524303,"2021",7.73,0,0,2.58,0.22,4.93,0,0,0,0,0,0,0,0,0
"101","SP-3524303-A7682ED563804138AF6A3F96D16FA05F","SP",3524303,"2021",1.24,0,0,0.33,0,0.74,0,0.17,0,0,0,0,0,0,0
"102","SP-3524303-AE1D25E0508C42BABADC23B3F41E9363","SP",3524303,"2021",0,0,0,0,0,0,0,65.36,0,0,0,0,0,0,0
"103","SP-3524303-B4E7D6269570418A8C7CB04464344387","SP",3524303,"2021",4.35,0,0,0.41,0,3.65,0,0.18,0,0,0,0,0,0,0
"104","SP-3524303-B511EABB874444398E1815F4A23331D5","SP",3524303,"2021",5.85,0,0,0.52,0.15,4.8,0,0.22,0,0,0,0,0,0,0
"105","SP-3524303-B81EF71D75DB4B0E824AC12E7E35D76B","SP",3524303,"2021",1,0.19,0,0,0.18,0.63,0,0,0,0,0,0,0,0,0
"106","SP-3524303-D35D6052A3004C3EB96D342F15B20926","SP",3524303,"2021",3.81,2.53,0,0,0,1.12,0,0.17,0,0,0,0,0,0,0
"107","SP-3524303-D78A85C41DBA40D891D0FEA45835EF2D","SP",3524303,"2021",20.18,10.44,0,0,0,9.56,0,0.1,0,0.09,0,0,0,0,0
"108","SP-3524303-F6196583B26A4E84AB1CD3FE7039A61E","SP",3524303,"2021",1.23,0.81,0,0,0,0,0,0,0,0.42,0,0,0,0,0
"109","SP-3529302-4380D5F337CF486E8E3C04893F2ED9CB","SP",3529302,"2021",33.1,23.76,0,4.42,0,4.93,0,0,0,0,0,0,0,0,0
"110","SP-3529302-5DA25D37430D4BE68395555524DC86D4","SP",3529302,"2021",0.43,0.41,0,0,0,0.02,0,0,0,0,0,0,0,0,0
"111","SP-3529302-664B22D1DFC44EAEA99AA819C0EC5779","SP",3529302,"2021",19.3,3.7,0,0.5,0.3,14.67,0,0.14,0,0,0,0,0,0,0
"112","SP-3529302-6D5093B0A0384E1E967CFBDF049F18E0","SP",3529302,"2021",0,5.38,0,0,0,7.31,0,19.77,0.11,0,0,0,0,0,0
"113","SP-3529302-82866007393E4DD6B6815EE7F7982D20","SP",3529302,"2021",0.42,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0
"114","SP-3529302-AF136ED1760141DFB2FA0AFF59A07E3E","SP",3529302,"2021",6.14,0.51,0,0,0,5.45,0,0.18,0,0,0,0,0,0,0
"115","SP-3529302-E22D1B8967CE4CB5959A0B2F759D70ED","SP",3529302,"2021",0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
"116","SP-3531308-5A765C4491DC4648A27E5D2E884EB375","SP",3531308,"2021",2.89,0,0,0.32,0,2.56,0,0,0,0,0,0,0,0,0
"117","SP-3531308-AA6227303FD445209CCFBA48F79908EA","SP",3531308,"2021",5.31,0.9,0,1.27,0.16,2.99,0,0,0,0,0,0,0,0,0
"118","SP-3531308-C2F56A08017A4459888CE0E69A3161F8","SP",3531308,"2021",3.03,0.4,0,0.22,0,2.41,0,0,0,0,0,0,0,0,0
"119","SP-3531308-DDC5C4B5C558434A9BE155279F32C2C1","SP",3531308,"2021",7.62,3.18,0,1.46,0,2.87,0,0.12,0,0,0,0,0,0,0
"120","SP-3532058-2C8FEF6FBC44472F9BF843B34FF9047E","SP",3532058,"2021",6.66,3.73,0,1.22,0,1.7,0,0.01,0,0,0,0,0,0,0
"121","SP-3532058-3EE625926E4E460DB99EA36B4AE36ECD","SP",3532058,"2021",1.81,1.27,0,0,0,0.54,0,0,0,0,0,0,0,0,0
"122","SP-3532058-7CBC1A16AA2E459E8BADBDB848922FAB","SP",3532058,"2021",6.41,3.5,0,0,0,1.98,0,0.93,0,0,0,0,0,0,0
"123","SP-3535002-07DD7C45D3E942C98886BFBB8B06B8D0","SP",3535002,"2021",1.65,0.16,0,0.44,0,0.99,0,0.06,0,0,0,0,0,0,0
"124","SP-3535002-1680D49FBA204A7CB661F0E52301933A","SP",3535002,"2021",1.15,0.8,0,0,0,0.18,0,0.17,0,0,0,0,0,0,0
"125","SP-3535002-1F6BB597B087407AAFBEE1C7F8FB9DD0","SP",3535002,"2021",0.69,0.51,0,0,0.03,0.14,0,0,0,0,0,0,0,0,0
"126","SP-3535002-36FD7710DDEB4FEF9F652436C122D3A7","SP",3535002,"2021",6.62,1.28,0,1.08,0.91,3.36,0,0,0,0,0,0,0,0,0
"127","SP-3535002-3DC863903D7C42FC9F62894F755C2800","SP",3535002,"2021",0.76,0.66,0,0,0,0.1,0,0,0,0,0,0,0,0,0
"128","SP-3535002-40C01BBAB3DD4547ACBB2CF3E5E0BF67","SP",3535002,"2021",0.06,0,0,0,0.01,0.05,0,0,0,0,0,0,0,0,0
"129","SP-3535002-415A2CFCCF6B4DC385D02C3268D01824","SP",3535002,"2021",7.85,1.48,0,4.98,0,1.4,0,0,0,0,0,0,0,0,0
"130","SP-3535002-585023E7A78647558214BFE24FBF611D","SP",3535002,"2021",2.04,0.41,0,1.25,0,0.38,0,0,0,0,0,0,0,0,0
"131","SP-3535002-60C312A9890F41DB909B1AEDABD152ED","SP",3535002,"2021",6.17,4.14,0,1.34,0.05,0.62,0,0.03,0,0,0,0,0,0,0
"132","SP-3535002-683FF484A1184BBF9D9D87CA7D92358A","SP",3535002,"2021",2.74,0,0,0.68,0.25,1.81,0,0,0,0,0,0,0,0,0
"133","SP-3535002-7332E87CC64447AB9B90600125687065","SP",3535002,"2021",0.5,0.46,0,0,0,0.04,0,0,0,0,0,0,0,0,0
"134","SP-3535002-7FBC29A1A88D419EBF00F797B3D62E40","SP",3535002,"2021",5.22,0.15,0,2.31,0.09,2.67,0,0.01,0,0,0,0,0,0,0
"135","SP-3535002-8BB90BDFB1624905888097443F8D60C7","SP",3535002,"2021",6.59,1.42,0,0,0.34,2.85,0,1.98,0,0,0,0,0,0,0
"136","SP-3535002-97BAAFDC07D442A1BE4E2DA6D836E9DE","SP",3535002,"2021",0.95,0.16,0,0,0.15,0.63,0,0,0,0,0,0,0,0,0
"137","SP-3535002-A9A5F5E72BD642C6A60413C4BD7501D8","SP",3535002,"2021",0.88,0,0,0.48,0,0.4,0,0,0,0,0,0,0,0,0
"138","SP-3535002-AD3D9B1A1CA24462A76E05B33C899E51","SP",3535002,"2021",4.87,0.83,0,2.43,0,1.61,0,0,0,0,0,0,0,0,0
"139","SP-3535002-AE29685C68A446BFA66CA289D83298C9","SP",3535002,"2021",6.29,0.71,0,0,0.6,4.85,0,0.14,0,0,0,0,0,0,0
"140","SP-3535002-B81BCF8F7EF34150B0B06FA44A8AEB27","SP",3535002,"2021",2.72,0,0,0.47,0,2.25,0,0,0,0,0,0,0,0,0
"141","SP-3535002-C39F61FBD45A4FE9B9DB41642C30FBE5","SP",3535002,"2021",7.01,0.03,0,2.92,0.74,3.07,0.25,0,0,0,0,0,0,0,0
"142","SP-3535002-C54A6412F2174BAABD020E756C5779EC","SP",3535002,"2021",1,0,0,0.64,0,0.34,0,0.02,0,0,0,0,0,0,0
"143","SP-3535002-C9156E596B5E4BF5A7E4AB052700B7B7","SP",3535002,"2021",1.91,1.29,0,0,0.26,0.36,0,0,0,0,0,0,0,0,0
"144","SP-3535002-D3C38922D0114B2DBBF18E00D6EA9EB9","SP",3535002,"2021",11.5,2.56,0,0.36,0.55,6.4,0,1.63,0,0,0,0,0,0,0
"145","SP-3535002-D426BF430B4C4F43B985BEE07AAA7791","SP",3535002,"2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"146","SP-3535002-D68439EDE895466F8C315C4E7919783B","SP",3535002,"2021",8.1,0,0,4.21,1.59,2.3,0,0,0,0,0,0,0,0,0
"147","SP-3535002-E9610D9EE80E4223921BFC53E361EE3F","SP",3535002,"2021",1.46,0.1,0,0.5,0,0.86,0,0,0,0,0,0,0,0,0
"148","SP-3536307-03C0130B26BC4B9E8A6DA288DA994CFB","SP",3536307,"2021",0.19,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0
"149","SP-3536307-2E39329A9BFE4EDDB7C0DA4BE005B9F4","SP",3536307,"2021",0,27.89,0,0,0,3.44,0,41.94,0,0,0,0,0,0,0
"150","SP-3536307-38E1F2C15F2F44D3AEBFA47848DB8B76","SP",3536307,"2021",5.51,1.91,2.05,1.44,0,0.11,0,0.01,0,0,0,0,0,0,0
"151","SP-3536307-39C8340CEEE54519A353C1E4921B8A11","SP",3536307,"2021",13.63,10.27,0,0,0,3.13,0,0.22,0,0,0,0,0,0,0
"152","SP-3536307-8FA0CD7AF87243C2AD4A29EF1C780683","SP",3536307,"2021",0,0,0,0,0,0.05,0,38.86,0,0,0,0,0,0,0
"153","SP-3536307-A14D5F1196DC4FE89631A52006CE8D3A","SP",3536307,"2021",2.49,2.43,0,0,0,0.05,0,0.01,0,0,0,0,0,0,0
"154","SP-3536307-AA36A6369D48486EB1C65F08DFF7BEC0","SP",3536307,"2021",0,0,0,0,0,0,0,8.4,0,0,0,0,0,0,0
"155","SP-3536307-AAED526D05264DA281EA7C8692482317","SP",3536307,"2021",0,0.16,0,0,0,2.2,0,106.61,9.72,0,0,0,0,0,0
"156","SP-3536307-D3EBF3FAC8564D139139231BDCBFA492","SP",3536307,"2021",5.41,4.9,0,0,0,0.45,0,0.07,0,0,0,0,0,0,0
"157","SP-3536307-E76342C0AB1F47D29C1AC5568BE76819","SP",3536307,"2021",3.9,2.3,0,0,0,1.4,0,0.19,0,0,0,0,0,0,0
"158","SP-3536307-F5CDFF4EC2FB43FEA76AA177E901AA60","SP",3536307,"2021",12.57,9.45,0.21,2.21,0,0.7,0,0,0,0,0,0,0,0,0
"159","SP-3538105-D4B13E2251B3446AA7B445237DF0CBCD","SP",3538105,"2021",13.77,7.45,0,3.58,0,2.52,0,0.03,0,0.18,0,0,0,0,0
"160","SP-3540309-455A2263AE1B4CEDBF18C9A8EF56FD37","SP",3540309,"2021",25.04,1.26,0,8.12,0.37,14.12,0.11,0.19,0,0.88,0,0,0,0,0
"161","SP-3540309-663984AC1E8A4B0F817BC2599BBF2DA4","SP",3540309,"2021",2.4,0,0,0,0.22,1.77,0.07,0.34,0,0,0,0,0,0,0
"162","SP-3540903-262EC6A45FFB45A8B306D5BB26DCAB02","SP",3540903,"2021",0,2.64,0,1.42,0,0.69,0,134.35,0,0,0,0,0,0,0
"163","SP-3540903-73F249DF772D472EA6E4054C889E3C37","SP",3540903,"2021",2.16,0,0,0,0,1.85,0,0.21,0,0.1,0,0,0,0,0
"164","SP-3540903-B11929B3E6EA4E9696D1E205DB6984F0","SP",3540903,"2021",2.95,2.22,0,0.55,0,0,0,0.05,0,0.14,0,0,0,0,0
"165","SP-3543402-1DA8730846C74686A4AB4FFFEDF102CA","SP",3543402,"2021",0,0,0,0,0,1.32,0,78.72,0.5,0,0,0,0,0,0
"166","SP-3543402-1F1F7808BB7942A7AC24E42F391C7A50","SP",3543402,"2021",22.88,16.68,0,2.75,0,3.08,0,0.34,0,0.02,0,0,0,0,0
"167","SP-3543402-42E69DAFD66A48F2A2C94EF340E96EAD","SP",3543402,"2021",6.75,0.75,0,2.52,0,2.4,0,0.78,0,0.29,0,0,0,0,0
"168","SP-3543402-4B9B41D5E4C44F83BCC3BF1C40A0AD09","SP",3543402,"2021",0,1.05,0,0,0,17.52,1.08,7.48,0,0,0,0,0,0,0
"169","SP-3543402-684F1290C16E47FD88B387C429B2804F","SP",3543402,"2021",29.34,24.56,0,0,0,4.69,0,0.09,0,0,0,0,0,0,0
"170","SP-3543402-EF060FEE30C44FDB89DE102EA19D6E60","SP",3543402,"2021",12.93,12.78,0,0,0,0.13,0,0.02,0,0,0,0,0,0,0
"171","SP-3543402-FB219CA4F6AA4588AF2B80E948058DBC","SP",3543402,"2021",10.35,8.34,0,0,0,1.81,0,0.2,0,0,0,0,0,0,0
"172","SP-3543709-67FEDFB442A74EFDAFED739AA5492A54","SP",3543709,"2021",8.99,4.85,0,1.99,0,1.13,0.64,0.24,0,0,0,0,0,0,0
"173","SP-3543709-895E9A4CA7AA45F787AB51BFD227F7E4","SP",3543709,"2021",160.28,73.37,0.32,45.22,0.25,36.14,3.03,1.87,0,0.07,0,0,0,0,0
"174","SP-3543709-F0021CE51CC64BE295FD0164556406B2","SP",3543709,"2021",5.01,0,0,0,0,3.28,0,1.27,0,0.46,0,0,0,0,0
"175","SP-3545605-31C240CD9EEA4DB795EAF79257D3A555","SP",3545605,"2021",0.56,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
"176","SP-3545605-4B1327CD9F0048C8AF0EF7D758D0BF69","SP",3545605,"2021",4.14,3.13,0,0,0,0.69,0,0.32,0,0,0,0,0,0,0
"177","SP-3545605-744C3D0EC2614782AF597E510CD204D4","SP",3545605,"2021",0,0,0,0,0,0.23,0,37.37,0,0,0,0,0,0,0
"178","SP-3553203-D7550D3273A445459C0CA1CC9F01DC82","SP",3553203,"2021",10.86,0.17,0,1.3,0.32,8.59,0.35,0.13,0,0,0,0,0,0,0
"179","SP-3553708-0858FA9FDFB0409EA92DDE3863FA14D1","SP",3553708,"2021",4.45,4.07,0,0.38,0,0.01,0,0,0,0,0,0,0,0,0
"180","SP-3553708-08F4112E61274728B7E28D4DD2C492B7","SP",3553708,"2021",11.61,8.11,0,1.25,0,1.67,0,0.35,0,0.22,0,0,0,0,0
"181","SP-3553708-091EAB10770A48328E6C7B9AA8156DF2","SP",3553708,"2021",2.71,0,0,2.3,0,0.14,0,0,0,0.26,0,0,0,0,0
"182","SP-3553708-0B8611F8492B4FBE9F4919FD2B4CCCFB","SP",3553708,"2021",5.28,1.79,0,0.09,0,2.72,0,0.68,0,0,0,0,0,0,0
"183","SP-3553708-0CD642AFEAB8483FA6531F2D4F185ED8","SP",3553708,"2021",12.75,10.64,0,1.16,0,0.6,0,0.08,0,0.26,0,0,0,0,0
"184","SP-3553708-26DB381602EF46B78D04BDCED4CCF582","SP",3553708,"2021",0,0,0,0,0,1.36,0,43.2,0,0,0,0,0,0,0
"185","SP-3553708-2847AE9800F147A58CC6658A2275C5A5","SP",3553708,"2021",7.98,3.07,0,0.23,0,2.84,0,1.84,0,0,0,0,0,0,0
"186","SP-3553708-3CB6F6CB2CC74B658B8220A88406C647","SP",3553708,"2021",2.69,0.42,0,1.14,0,1.12,0,0,0,0,0,0,0,0,0
"187","SP-3553708-4389915C37424AF6A21D3FBF1B6D2D40","SP",3553708,"2021",0,0,0,0,0,0.46,0,43.99,0,0,0,0,0,0,0
"188","SP-3553708-49A3269AAE35408995F4486D1409FA51","SP",3553708,"2021",0.88,0,0,0,0,0.73,0,0.15,0,0,0,0,0,0,0
"189","SP-3553708-5F2E87B8ABE847618C1AF8E982479ED6","SP",3553708,"2021",2.42,0.94,0,0,0,0.92,0,0.56,0,0,0,0,0,0,0
"190","SP-3553708-63B9D7B6A988411A8A8F3BA1744F0F60","SP",3553708,"2021",6.18,0,0,0.33,0,3.49,0,2.37,0,0,0,0,0,0,0
"191","SP-3553708-75EB43DF11594E7A96F4561A8FDDABB7","SP",3553708,"2021",23.77,3.94,0,2.62,0,15.43,0,1.78,0.01,0,0,0,0,0,0
"192","SP-3553708-8AD9E86E75D84315AE9FED048812FC8B","SP",3553708,"2021",2.59,1.69,0,0.21,0,0.7,0,0,0,0,0,0,0,0,0
"193","SP-3553708-91969BC01A48412787C2C5625EEB6D11","SP",3553708,"2021",1.45,1.38,0,0,0,0,0,0.07,0,0,0,0,0,0,0
"194","SP-3553708-92A63A0F23334E10B312AEA000572D36","SP",3553708,"2021",5.79,2.54,0,0,0,3.24,0,0,0,0.01,0,0,0,0,0
"195","SP-3553708-943E0C267F964F54AADC0BC1416CFC51","SP",3553708,"2021",10.99,1.34,0,0.8,0,8.04,0,0.81,0,0,0,0,0,0,0
"196","SP-3553708-A683C1419B744985B282D80959EA1326","SP",3553708,"2021",2.91,1.76,0,0,0,1.03,0,0.13,0,0,0,0,0,0,0
"197","SP-3553708-B3B40607D9EC47B39A585035D516A560","SP",3553708,"2021",2.94,0,0,1.2,0,1.73,0,0,0,0,0,0,0,0,0
"198","SP-3553708-B6CB9C346B1A49769E52BC44C7D921DD","SP",3553708,"2021",8.67,3.77,0,0,0,3.96,0,0.45,0,0.5,0,0,0,0,0
"199","SP-3553708-C19DAF28E878458584873AECBAB95F92","SP",3553708,"2021",1.69,0.17,0,1.52,0,0,0,0,0,0,0,0,0,0,0
"200","SP-3553708-DFEE19EE1DAB4088ABE7B5C886ECF753","SP",3553708,"2021",0.47,0.01,0,0,0,0.46,0,0,0,0,0,0,0,0,0
"201","SP-3553708-EB64F2865C5B4374A77FE31919A96F49","SP",3553708,"2021",1.69,1.5,0,0,0,0.19,0,0.01,0,0,0,0,0,0,0
"202","SP-3553708-EB6C39204B8F4DB4BCCD5DCE766FCB3B","SP",3553708,"2021",1.34,0.49,0,0,0,0.83,0,0.01,0,0,0,0,0,0,0
