"","fcar","uf","munic","year","camada_area_hec","Formacao Florestal","Cana-de-Acucar","Mosaico de Agricultura e Pastagem","Outras Lavouras Temporarias","Formacao Savanica","Silvicultura","Campo Alagado e Area Pantanosa","Soja","Café","Citrus","Pastagem","Area Urbanizada","Outras Areas nao Vegetadas","Rio, Lago e Oceano","Outras Lavouras Perenes","Fomacao Campestre","Afloramento"
"1","SP-3536307-03C0130B26BC4B9E8A6DA288DA994CFB","SP",3536307,"2021",223.09,28.95,154.07,35.12,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","SP-3536307-2E39329A9BFE4EDDB7C0DA4BE005B9F4","SP",3536307,"2021",73.27,27.89,41.94,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","SP-3536307-38E1F2C15F2F44D3AEBFA47848DB8B76","SP",3536307,"2021",176.5,5.16,108.06,19.58,0,24.52,0.03,3.84,15.3,0,0,0,0,0,0,0,0,0
"4","SP-3536307-39C8340CEEE54519A353C1E4921B8A11","SP",3536307,"2021",147.84,26.18,88.77,30.65,0,0,0,0,0,0.23,2.01,0,0,0,0,0,0,0
"5","SP-3536307-8FA0CD7AF87243C2AD4A29EF1C780683","SP",3536307,"2021",38.91,0,38.86,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","SP-3536307-A14D5F1196DC4FE89631A52006CE8D3A","SP",3536307,"2021",148.42,6.44,108.91,29.47,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","SP-3536307-AA36A6369D48486EB1C65F08DFF7BEC0","SP",3536307,"2021",8.4,0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","SP-3536307-AAED526D05264DA281EA7C8692482317","SP",3536307,"2021",118.68,0.16,106.61,2.2,0,0,0,0,9.72,0,0,0,0,0,0,0,0,0
"9","SP-3536307-D3EBF3FAC8564D139139231BDCBFA492","SP",3536307,"2021",32.27,6.87,17.82,7.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","SP-3536307-E76342C0AB1F47D29C1AC5568BE76819","SP",3536307,"2021",179.86,9.07,98.99,13.36,0,0,0,0,58.45,0,0,0,0,0,0,0,0,0
"11","SP-3536307-F5CDFF4EC2FB43FEA76AA177E901AA60","SP",3536307,"2021",169.92,22.33,69.34,72.53,0,2.43,0,2.86,0,0,0,0.42,0,0,0,0,0,0
"12","SP-3536604-B96E3840F46247E79C82046385452ADD","SP",3536604,"2021",33.62,0,0,2.55,0,0,0,0,30.94,0,0,0.12,0.02,0,0,0,0,0
"13","SP-3536703-223A1829E5A4411F885257F3629DF141","SP",3536703,"2021",28.73,7.47,12.95,3.41,0,0,0,0,4.91,0,0,0,0,0,0,0,0,0
"14","SP-3538105-0DAFF7B4ACCA455FAA177E7A94B8F269","SP",3538105,"2021",620.17,76.65,448.91,42.5,1.39,0,2.92,35.15,11.83,0,0,0.83,0,0,0,0,0,0
"15","SP-3538105-D4B13E2251B3446AA7B445237DF0CBCD","SP",3538105,"2021",219.02,21.07,182.73,7.53,0.5,0,0,7.19,0,0,0,0,0,0,0,0,0,0
"16","SP-3538907-4A6B17B442114916B860107C4F77527C","SP",3538907,"2021",89.15,5.17,64.85,11.67,0.42,0,0,1.83,0,0,0,5.2,0,0,0,0,0,0
"17","SP-3538907-8008D3921DFB41CFB9B89479B9A774D8","SP",3538907,"2021",358.83,45.69,0,11.99,0,0,0,15.14,0,0,0,286,0,0,0,0,0,0
"18","SP-3539608-1AE0BF2C83E34158B5C09EA38C1DFF3D","SP",3539608,"2021",373.08,12.65,322.84,25.7,0,0,0,6.08,0,0,0,3.25,0,0.59,1.42,0,0,0
"19","SP-3540309-455A2263AE1B4CEDBF18C9A8EF56FD37","SP",3540309,"2021",534.59,1.74,374.64,66.25,22.53,0,0,15.96,6.22,0,0,20.23,0,0,27.02,0,0,0
"20","SP-3540309-663984AC1E8A4B0F817BC2599BBF2DA4","SP",3540309,"2021",48.41,0,43.47,4.45,0,0,0,0,0,0,0,0.42,0,0,0.07,0,0,0
"21","SP-3540903-262EC6A45FFB45A8B306D5BB26DCAB02","SP",3540903,"2021",139.11,2.64,134.35,0.69,0,0,0,1.42,0,0,0,0,0,0,0,0,0,0
"22","SP-3540903-73F249DF772D472EA6E4054C889E3C37","SP",3540903,"2021",141.01,0,133.63,6.42,0.1,0,0,0,0,0,0,0,0,0.86,0,0,0,0
"23","SP-3540903-79CFF2423DFE491AADDFEBEBD58C253F","SP",3540903,"2021",6,0.71,4.32,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","SP-3540903-8E5E9C97601D4B569130EEC00F292D1E","SP",3540903,"2021",26.02,0.07,25.62,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","SP-3540903-B11929B3E6EA4E9696D1E205DB6984F0","SP",3540903,"2021",180.82,4.59,175.28,0.01,0.16,0,0,0.78,0,0,0,0,0,0,0,0,0,0
"26","SP-3540903-E33502A05729445AB39A789964C1ABA2","SP",3540903,"2021",18.45,0,18.44,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","SP-3543402-1DA8730846C74686A4AB4FFFEDF102CA","SP",3543402,"2021",80.54,0,78.72,1.32,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
"28","SP-3543402-1F1F7808BB7942A7AC24E42F391C7A50","SP",3543402,"2021",478.33,45.57,391.51,29.34,1.7,0,0,10.2,0,0,0,0,0,0,0,0,0,0
"29","SP-3543402-42E69DAFD66A48F2A2C94EF340E96EAD","SP",3543402,"2021",119.24,4.09,101.77,3.4,0.71,0,0,9.27,0,0,0,0,0,0,0,0,0,0
"30","SP-3543402-4B9B41D5E4C44F83BCC3BF1C40A0AD09","SP",3543402,"2021",27.13,1.05,7.48,17.52,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0
"31","SP-3543402-684F1290C16E47FD88B387C429B2804F","SP",3543402,"2021",532.15,150.64,294.87,80.97,1.93,0,0,0.04,0.26,0,0,1.2,1.06,1.17,0,0,0,0
"32","SP-3543402-EF060FEE30C44FDB89DE102EA19D6E60","SP",3543402,"2021",513.74,76.19,408.48,18.73,2.76,0,0,0.84,6.76,0,0,0,0,0,0,0,0,0
"33","SP-3543402-FB219CA4F6AA4588AF2B80E948058DBC","SP",3543402,"2021",175.08,38.81,122.95,12.35,0.85,0,0,0.12,0,0,0,0,0,0,0,0,0,0
"34","SP-3543709-3441624B211E459D97BC7E1C7FF2C66D","SP",3543709,"2021",204.83,8.48,120.62,21.64,0.23,0,0,12.7,41.17,0,0,0,0,0,0,0,0,0
"35","SP-3543709-67FEDFB442A74EFDAFED739AA5492A54","SP",3543709,"2021",828.78,11.38,636.22,24.41,1.93,0,0,7.71,145.89,0,0.28,0,0,0,0.77,0,0,0
"36","SP-3543709-895E9A4CA7AA45F787AB51BFD227F7E4","SP",3543709,"2021",5498.35,225.77,3988.2,452.39,4.74,1,0,725.85,78.17,0,0,6.79,0,8.28,6.81,0,0,0
"37","SP-3543709-F0021CE51CC64BE295FD0164556406B2","SP",3543709,"2021",83.4,0,78.43,4.48,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","SP-3544202-1CC80758D5D14B37BA4FDB5607741084","SP",3544202,"2021",473.57,138.04,0.11,112.91,20.42,0,0,5.93,179.94,0,7.73,8.49,0,0,0,0,0,0
"39","SP-3544806-6B687EF4F1B84898BCDF0F4308F089C9","SP",3544806,"2021",1855.18,596.75,603.38,263.22,3.58,0,0,12.07,7.34,0,0,364.09,0,0,1.83,2,0,0
"40","SP-3545605-31C240CD9EEA4DB795EAF79257D3A555","SP",3545605,"2021",109.41,4,101.19,3.28,0.5,0,0,0.43,0,0,0,0,0,0,0,0,0,0
"41","SP-3545605-4B1327CD9F0048C8AF0EF7D758D0BF69","SP",3545605,"2021",119.52,5.59,109.77,2.75,0,0,0,0,1.42,0,0,0,0,0,0,0,0,0
"42","SP-3545605-744C3D0EC2614782AF597E510CD204D4","SP",3545605,"2021",37.6,0,37.37,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","SP-3545605-FC224EA067B740748563093314CEEB53","SP",3545605,"2021",152.7,1.63,114.3,31.95,2.95,0,0,1.42,0,0,0,0.45,0,0,0,0,0,0
"44","SP-3546504-17316620B58E4D9A804E41102F4433F8","SP",3546504,"2021",35.45,0.52,33.1,1.73,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0
"45","SP-3546504-6EB6A453EEE24B7985BC522A0F0E5263","SP",3546504,"2021",30.79,0,29.85,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","SP-3546504-B94FB8D88D6B49C994D16BAB866E6567","SP",3546504,"2021",37.91,0,26.49,3.43,0,0,0,0,7.99,0,0,0,0,0,0,0,0,0
"47","SP-3546504-FFEDB04F349B452AAED6CDB1F18A0AD3","SP",3546504,"2021",19.53,0,19.44,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","SP-3547502-55E0E2928C6042439DD9F30820431BAA","SP",3547502,"2021",138.8,6.84,106.25,25.21,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","SP-3552601-C14D91A2A6E546A89928041173C30A01","SP",3552601,"2021",26.92,0.11,6.79,11.81,0,0,0,0,0,0,0,8.2,0,0,0,0,0,0
"50","SP-3552700-E4D0C8F26C234432A308F245268B367B","SP",3552700,"2021",22.41,1.59,14.64,4.79,0,0,0,0,0.01,0,0,1.38,0,0,0,0,0,0
"51","SP-3553203-7758C310E68943F68BFF6E34A3CC369B","SP",3553203,"2021",9.7,0,8.29,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","SP-3553203-D7550D3273A445459C0CA1CC9F01DC82","SP",3553203,"2021",173.1,4.42,137.2,22.86,0,0,0,1.85,0,0,0,5.5,0,0,1.28,0,0,0
"53","SP-3553203-E702888E159D45FDB83877FF261E2B77","SP",3553203,"2021",131.93,11.45,112.93,7.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","SP-3553401-37712E2C1B0E40B898C3E8FD406A0C5B","SP",3553401,"2021",95.82,20.6,49.08,11.88,0.06,0,0,1.29,10.06,0,0,2.84,0,0,0,0,0,0
"55","SP-3553401-B6EFB97DDA6649898BC55B296A3CB982","SP",3553401,"2021",736.97,61.44,512.23,135.65,0.29,0,0,5.52,0,0,0,21.83,0,0,0,0,0,0
"56","SP-3553401-C2F5B34A04294D2D8E414980BC2B2888","SP",3553401,"2021",295.87,50.21,177.69,30.03,0.41,0,0,25.02,3.36,0,0,9.16,0,0,0,0,0,0
"57","SP-3553708-0363D6D4AE3A4CF5834FC4B14EB2FD19","SP",3553708,"2021",21.42,0.62,15.25,2.74,0.2,0,0,2.6,0,0,0,0,0,0,0,0,0,0
"58","SP-3553708-03B5C2A8CCD847408C3652DFC08FBE62","SP",3553708,"2021",41.64,1.88,39.3,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","SP-3553708-062438BB75E243F88F13F8CD61F84035","SP",3553708,"2021",26.09,0.71,18.86,6.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","SP-3553708-072CF0C8240D4A7994DF49E41713C12B","SP",3553708,"2021",46.21,4.59,41.6,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","SP-3553708-07B0F70D204C4F5CAF94D3D3A65B80DC","SP",3553708,"2021",12.52,0,7.85,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","SP-3553708-0858FA9FDFB0409EA92DDE3863FA14D1","SP",3553708,"2021",52.44,8.44,41.25,2.27,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0
"63","SP-3553708-08989150066A43F0A2B153E45E9CB678","SP",3553708,"2021",17.07,2.33,12.82,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","SP-3553708-08F4112E61274728B7E28D4DD2C492B7","SP",3553708,"2021",148.88,19.86,111.65,10.4,0.42,0,0,2.5,4.02,0,0,0,0,0.03,0,0,0,0
"65","SP-3553708-091EAB10770A48328E6C7B9AA8156DF2","SP",3553708,"2021",30.34,0.02,24.67,2.43,0.53,0,0,2.7,0,0,0,0,0,0,0,0,0,0
"66","SP-3553708-0A9DF8059DA24D809F05F551C8381534","SP",3553708,"2021",37.86,2.62,10.74,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","SP-3553708-0B8611F8492B4FBE9F4919FD2B4CCCFB","SP",3553708,"2021",113.32,5.36,101.54,6.15,0,0,0,0.11,0,0,0,0,0,0,0.16,0,0,0
"68","SP-3553708-0CD642AFEAB8483FA6531F2D4F185ED8","SP",3553708,"2021",230.59,33.61,175.16,20.05,0.32,0,0,1.43,0.02,0,0,0,0,0,0,0,0,0
"69","SP-3553708-0D4F4186682E4B17BB2F3FFFDF818E8D","SP",3553708,"2021",45.05,0.72,17.6,17.14,0,0,0,0,9.34,0,0,0,0.25,0,0,0,0,0
"70","SP-3553708-144DADAAEE994AFA80B69844A8BA9D76","SP",3553708,"2021",7.21,0,6.58,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","SP-3553708-1FF6E8317DC84083AB0B4FADBF078A89","SP",3553708,"2021",51.37,1.46,0,44.33,0,0,0,0,0,0,0,2.99,0,0,0,2.58,0,0
"72","SP-3553708-2363162A99F549EB95F8BDA41D6C4C41","SP",3553708,"2021",48.15,2.51,42.04,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","SP-3553708-26DB381602EF46B78D04BDCED4CCF582","SP",3553708,"2021",44.56,0,43.2,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","SP-3553708-27B4910CA6074CA387637A8086A4B195","SP",3553708,"2021",39.85,0,36.24,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","SP-3553708-2847AE9800F147A58CC6658A2275C5A5","SP",3553708,"2021",133.13,20.93,89.92,20.43,0.92,0,0,0.7,0.23,0,0,0,0,0,0,0,0,0
"76","SP-3553708-303FC9048EC44024BAF59200A6A2AA07","SP",3553708,"2021",28.15,3.3,0.22,23.88,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0
"77","SP-3553708-3231B91193B3460C979D63AF8CABCC5A","SP",3553708,"2021",48.18,6.17,33.65,8.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","SP-3553708-3A1DE70ECFE64191B6D4A8D8C9026536","SP",3553708,"2021",59.09,7.94,36.73,11.87,0,0,0,0,2.55,0,0,0,0,0,0,0,0,0
"79","SP-3553708-3CB6F6CB2CC74B658B8220A88406C647","SP",3553708,"2021",30.69,2.2,7.32,16.24,0.42,0,0,1.93,0,0,0,2.58,0,0,0,0,0,0
"80","SP-3553708-3F8DFC2C49614B768D2A3D8021299A0C","SP",3553708,"2021",19.87,0.34,16.9,2.49,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0
"81","SP-3553708-4389915C37424AF6A21D3FBF1B6D2D40","SP",3553708,"2021",44.45,0,43.99,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","SP-3553708-46CEAA409E334438AF72207E838E8D6E","SP",3553708,"2021",13.26,2.78,0.01,10.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","SP-3553708-46D3951E4B6B4BC28D0C86ADB71FBBD5","SP",3553708,"2021",17.62,2.35,14.8,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","SP-3553708-49A3269AAE35408995F4486D1409FA51","SP",3553708,"2021",31.71,0,25.84,2.71,0,0,0,0,3.16,0,0,0,0,0,0,0,0,0
"85","SP-3553708-4D4F4BD089884FD8A4758EBA38D34892","SP",3553708,"2021",25.28,1.84,0.44,21.51,0,0,0,1,0,0,0,0,0,0.49,0,0,0,0
"86","SP-3553708-522501587CD0421493464ECA36E4D84A","SP",3553708,"2021",222.63,4.77,188.09,22.06,0,0,0,2.36,3.25,0,0,0,0,0.87,1.25,0,0,0
"87","SP-3553708-57B0C9FFD15243E1AE7E4E422B59A16E","SP",3553708,"2021",55.4,1.28,51.02,1.68,0,0,0,1.43,0,0,0,0,0,0,0,0,0,0
"88","SP-3553708-5DC28721E7B04CEBB4175DC5087BF35C","SP",3553708,"2021",74.1,5.61,50.86,10.36,0,0,0,0,1.08,0,0,6.19,0,0,0,0,0,0
"89","SP-3553708-5E108273477444EF9128DBEC6D97197D","SP",3553708,"2021",91.96,2.05,50.82,30.6,0,0,0,0,5.16,0,0,3.33,0,0,0,0,0,0
"90","SP-3553708-5F2E87B8ABE847618C1AF8E982479ED6","SP",3553708,"2021",51.87,2.12,46.59,3.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","SP-3553708-625354A6D1C147BBAA351A2653D2A5C3","SP",3553708,"2021",44.76,4.31,0,39.7,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0
"92","SP-3553708-63B9D7B6A988411A8A8F3BA1744F0F60","SP",3553708,"2021",55.53,0,46.17,4.45,0,0,0,0.33,4.57,0,0,0,0,0,0,0,0,0
"93","SP-3553708-641F8D880A6B4EE6B9640F07EEC9E7BB","SP",3553708,"2021",68.07,3.85,54.64,7.66,0,0,0,1.67,0.24,0,0,0.01,0,0,0,0,0,0
"94","SP-3553708-698776D9448F42078AAEB1C6B3D2504A","SP",3553708,"2021",99.46,12.3,13.58,73.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","SP-3553708-698EB422A8304A3BBB200E882CD4E989","SP",3553708,"2021",26.62,3.02,19.46,3.52,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0
"96","SP-3553708-6B4E5206FDA74D9CBFA961CFF31B2F04","SP",3553708,"2021",41.63,0.05,41.29,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","SP-3553708-6E81B98218E0424585F91CBD1C2640B7","SP",3553708,"2021",111.59,24.6,65.02,19.37,0,0,0,0,2.59,0,0,0,0,0,0,0,0,0
"98","SP-3553708-717729B507BA42D2BEF1919C06A84931","SP",3553708,"2021",40.88,3.47,1.24,22.54,8.88,0,0,0,3.92,0,0,0.83,0,0,0,0,0,0
"99","SP-3553708-75EB43DF11594E7A96F4561A8FDDABB7","SP",3553708,"2021",281.97,24.97,201.38,47.19,0,0,0,3.68,4.17,0,0,0.58,0,0,0,0,0,0
"100","SP-3553708-7653BD924236459B8C47BC58F98EFCE5","SP",3553708,"2021",56.4,21.23,29.09,6.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101","SP-3553708-76A7B4F9D99549C78E7AC67B53BB2B3C","SP",3553708,"2021",15.9,1.56,12.75,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","SP-3553708-7AFAC93FC67E4174A523FD5E935CEACA","SP",3553708,"2021",53.79,2.77,45.59,3.71,0,0,0,0.64,1.08,0,0,0,0,0,0,0,0,0
"103","SP-3553708-7D52337EDE6547CCBB4D3C1265DACB2A","SP",3553708,"2021",128.16,17.66,88.07,17.43,1.17,0,0,0,0.58,3.25,0,0,0,0,0,0,0,0
"104","SP-3553708-7FE74DBE05434D2AAC66BB501684048D","SP",3553708,"2021",25.61,0.57,17.35,6.69,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"105","SP-3553708-8AD9E86E75D84315AE9FED048812FC8B","SP",3553708,"2021",27.37,7.77,15.82,3.44,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0
"106","SP-3553708-91969BC01A48412787C2C5625EEB6D11","SP",3553708,"2021",42.26,2.1,39.18,0.98,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0
"107","SP-3553708-92A63A0F23334E10B312AEA000572D36","SP",3553708,"2021",65.86,6.81,28.68,19.52,0.01,0,0,0,10.84,0,0,0,0,0,0,0,0,0
"108","SP-3553708-943E0C267F964F54AADC0BC1416CFC51","SP",3553708,"2021",227.16,3.36,193.18,29.56,0.01,0,0,1.06,0,0,0,0,0,0,0,0,0,0
"109","SP-3553708-9532B608710B440F82A6945FB640B3C8","SP",3553708,"2021",113.68,3.44,91.81,12.21,1.33,0,0,0.55,3.34,0,0,1,0,0,0,0,0,0
"110","SP-3553708-956D327273BE4502890E643A62057863","SP",3553708,"2021",106.77,0.17,87.73,16.66,0.29,0,0,0.77,0.36,0,0,0.67,0,0.12,0,0,0,0
"111","SP-3553708-961C4C023C78407B9A4EE1ABFB57BAB0","SP",3553708,"2021",27.04,1,25.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112","SP-3553708-9DC8985142A648019A6BDC3360DAAFC4","SP",3553708,"2021",27.81,0.96,22.54,2.06,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0
"113","SP-3553708-9E3FDF045ABD4CB9A9071E2DD3FE81D5","SP",3553708,"2021",133.88,18.03,95.42,18.66,0,0,0,0.83,0,0,0,0.92,0,0.01,0,0,0,0
"114","SP-3553708-9F44D94F5C9C43FF95D95829823A8659","SP",3553708,"2021",12.09,0.31,11.31,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
